Malabo,Equatorial-Guinea,https://www.countryflags.com/wp-content/uploads/equatorial-guinea-flag-png-large.png
Asmara,Eritrea,https://www.countryflags.com/wp-content/uploads/eritrea-flag-png-large.png
Mbabane,Eswatini,https://www.countryflags.com/wp-content/uploads/eswatini-flag-png-large.png
Suva,Fiji,https://www.countryflags.com/wp-content/uploads/fiji-flag-png-large.png
Libreville,Gabon,https://www.countryflags.com/wp-content/uploads/gabon-flag-png-large.png
Banjul,Gambia,https://www.countryflags.com/wp-content/uploads/gambia-flag-png-large.png
Tbilisi,Georgia,https://www.countryflags.com/wp-content/uploads/georgia-flag-png-large.png
Berlin,Germany,https://www.countryflags.com/wp-content/uploads/germany-flag-png-large.png
Accra,Ghana,https://www.countryflags.com/wp-content/uploads/ghana-flag-png-large.png
Athens,Greece,https://www.countryflags.com/wp-content/uploads/greece-flag-png-large.png
St.-George's,Grenada,https://www.countryflags.com/wp-content/uploads/grenada-flag-png-large.png
Guatemala-City,Guatemala,https://www.countryflags.com/wp-content/uploads/guatemala-flag-png-large.png
Conakry,Guinea,https://www.countryflags.com/wp-content/uploads/guinea-flag-png-large.png
Bissau,Guinea-Bissau,https://www.countryflags.com/wp-content/uploads/guinea-bissau-flag-png-large.png
Georgetown,Guyana,https://www.countryflags.com/wp-content/uploads/guyana-flag-png-large.png
Port-au-Prince,Haiti,https://www.countryflags.com/wp-content/uploads/haiti-flag-png-large.png
Vatican-City,Holy-See,https://www.countryflags.com/wp-content/uploads/holy-see-flag-png-large.png
Tegucigalpa,Honduras,https://www.countryflags.com/wp-content/uploads/honduras-flag-png-large.png
Budapest,Hungary,https://www.countryflags.com/wp-content/uploads/hungary-flag-png-large.png
Reykjavik,Iceland,https://www.countryflags.com/wp-content/uploads/iceland-flag-png-large.png
New-Delhi,India,https://www.countryflags.com/wp-content/uploads/india-flag-png-large.png
Jakarta,Indonesia,https://www.countryflags.com/wp-content/uploads/indonesia-flag-png-large.png
Tehran,Iran,https://www.countryflags.com/wp-content/uploads/iran-flag-png-large.png
Baghdad,Iraq,https://www.countryflags.com/wp-content/uploads/iraq-flag-png-large.png
Dublin,Ireland,https://www.countryflags.com/wp-content/uploads/ireland-flag-png-large.png
Jerusalem,Israel,https://www.countryflags.com/wp-content/uploads/israel-flag-png-large.png
Rome,Italy,https://www.countryflags.com/wp-content/uploads/italy-flag-png-large.png
Kingston,Jamaica,https://www.countryflags.com/wp-content/uploads/jamaica-flag-png-large.png
Tokyo,Japan,https://www.countryflags.com/wp-content/uploads/japan-flag-png-large.png
Amman,Jordan,https://www.countryflags.com/wp-content/uploads/jordan-flag-png-large.png
Nur-Sultan,Kazakhstan,https://www.countryflags.com/wp-content/uploads/kazakhstan-flag-png-large.png
Nairobi,Kenya,https://www.countryflags.com/wp-content/uploads/kenya-flag-png-large.png
South-Tarawa,Kiribati,https://www.countryflags.com/wp-content/uploads/kiribati-flag-png-large.png
Kuwait-City,Kuwait,https://www.countryflags.com/wp-content/uploads/kuwait-flag-png-large.png
Bishkek,Kyrgyzstan,https://www.countryflags.com/wp-content/uploads/kyrgyzstan-flag-png-large.png
Vientiane,Laos,https://www.countryflags.com/wp-content/uploads/laos-flag-png-large.png
Riga,Latvia,https://www.countryflags.com/wp-content/uploads/latvia-flag-png-large.png
Beirut,Lebanon,https://www.countryflags.com/wp-content/uploads/lebanon-flag-png-large.png
Maseru,Lesotho,https://www.countryflags.com/wp-content/uploads/lesotho-flag-png-large.png
Monrovia,Liberia,https://www.countryflags.com/wp-content/uploads/liberia-flag-png-large.png
Tripoli,Libya,https://www.countryflags.com/wp-content/uploads/libya-flag-png-large.png
Vaduz,Liechtenstein,https://www.countryflags.com/wp-content/uploads/liechtenstein-flag-png-large.png
Vilnius,Lithuania,https://www.countryflags.com/wp-content/uploads/lithuania-flag-png-large.png
Luxembourg-City,Luxembourg,https://www.countryflags.com/wp-content/uploads/luxembourg-flag-png-large.png
Antananarivo,Madagascar,https://www.countryflags.com/wp-content/uploads/madagascar-flag-png-large.png
Lilongwe,Malawi,https://www.countryflags.com/wp-content/uploads/malawi-flag-png-large.png
Kuala-Lumpur,Malaysia,https://www.countryflags.com/wp-content/uploads/malaysia-flag-png-large.png
Male,Maldives,https://www.countryflags.com/wp-content/uploads/maldives-flag-png-large.png
Bamako,Mali,https://www.countryflags.com/wp-content/uploads/mali-flag-png-large.png
Valletta,Malta,https://www.countryflags.com/wp-content/uploads/malta-flag-png-large.png
Majuro,Marshall-Islands,https://www.countryflags.com/wp-content/uploads/marshall-islands-flag-png-large.png
Nouakchott,Mauritania,https://www.countryflags.com/wp-content/uploads/mauritania-flag-png-large.png
Port-Louis,Mauritius,https://www.countryflags.com/wp-content/uploads/mauritius-flag-png-large.png
Mexico-City,Mexico,https://www.countryflags.com/wp-content/uploads/mexico-flag-png-large.png
Palikir,Micronesia,https://www.countryflags.com/wp-content/uploads/micronesia-flag-png-large.png
Chisinau,Moldova,https://www.countryflags.com/wp-content/uploads/moldova-flag-png-large.png
Monaco,Monaco,https://www.countryflags.com/wp-content/uploads/monaco-flag-png-large.png
Ulaanbaatar,Mongolia,https://www.countryflags.com/wp-content/uploads/mongolia-flag-png-large.png
Podgorica,Montenegro,https://www.countryflags.com/wp-content/uploads/montenegro-flag-png-large.png
Rabat,Morocco,https://www.countryflags.com/wp-content/uploads/morocco-flag-png-large.png
Maputo,Mozambique,https://www.countryflags.com/wp-content/uploads/mozambique-flag-png-large.png
Naypyidaw,Myanmar,https://www.countryflags.com/wp-content/uploads/myanmar-flag-png-large.png
Windhoek,Namibia,https://www.countryflags.com/wp-content/uploads/namibia-flag-png-large.png
Yaren-District,Nauru,https://www.countryflags.com/wp-content/uploads/nauru-flag-png-large.png
Kathmandu,Nepal,https://www.countryflags.com/wp-content/uploads/nepal-flag-png-large.png
Amsterdam,Netherlands,https://www.countryflags.com/wp-content/uploads/netherlands-flag-png-large.png
Wellington,New-Zealand,https://www.countryflags.com/wp-content/uploads/new-zealand-flag-png-large.png
Managua,Nicaragua,https://www.countryflags.com/wp-content/uploads/nicaragua-flag-png-large.png
Niamey,Niger,https://www.countryflags.com/wp-content/uploads/niger-flag-png-large.png
Abuja,Nigeria,https://www.countryflags.com/wp-content/uploads/nigeria-flag-png-large.png
Pyongyang,North-Korea,https://www.countryflags.com/wp-content/uploads/north-korea-flag-png-large.png
